"","Assay","R.squared","Slope","Intercept","Low.95","LOD","LOQ","rep2.LOD","rep3.LOD","rep4.LOD","rep5.LOD","rep8.LOD","Efficiency","LOD.model"
"1","2404",0.996461663430039,-3.17920187793427,38.6175440444721,5.548,3.77531532863809,3.77531532863809,0.836991447366331,0.347992545093704,0.186855965302409,0.115411277726449,0.0419046799243755,1.06321436889071,"W2.4"
"2","2304",0.99601026176911,-3.34016096579477,39.4098816079944,5.548,3.77531532863809,3.77531532863809,0.836991447366331,0.347992545093704,0.186855965302409,0.115411277726449,0.0419046799243755,0.992446960373764,"W2.4"
"3","411",0.996650859802333,-3.38093226022803,39.2943792974253,5.548,3.77531532863809,9,0.836991447366331,0.347992545093704,0.186855965302409,0.115411277726449,0.0419046799243755,0.975952080312962,"W2.4"
"4","705",0.996387096309669,-3.25785378940309,39.289673408505,5.548,3.77531532863809,5,0.836991447366331,0.347992545093704,0.186855965302409,0.115411277726449,0.0419046799243755,1.02745183708755,"W2.4"
"5","706",0.995395170845149,-3.3492446633826,39.8258089993404,5.548,2.99441271441725,8,1.670058710383,1.18641823742935,0.930875192560643,0.771256640113339,0.519073911096721,0.988725229843039,"W2.4"
"6","2152",0.991291721423933,-3.23821998658618,38.9889505040733,5.548,3.77531532863809,5,0.836991447366331,0.347992545093704,0.186855965302409,0.115411277726449,0.0419046799243755,1.03615873789497,"W2.4"
"7","223",0.996799277266829,-3.47440147783251,39.4941480017546,5.548,2.99441271441725,31,1.670058710383,1.18641823742935,0.930875192560643,0.771256640113339,0.519073911096721,0.94007874287215,"W2.4"
"8","385",0.995068087761226,-3.43870443349754,39.7310229534673,5.548,2.99441271307207,12,1.67005870988065,1.18641823717658,0.930875192420351,0.77125664003441,0.519073911096479,0.95347203160929,"W2.4"
"9","406",0.997431747703096,-3.52021904761905,40.2385709328182,5.548,4.3114483345,10,3.4983539214204,3.09572189820578,2.83855689314724,2.65395735395441,2.30371847695003,0.923416030804189,"W2.4"
"10","1606",0.995819389869818,-3.47053461538462,40.194378239705,55.48,9.16588219488068,9.16588219488068,6.48671356600362,5.29850260834278,4.59008222958423,4.10662862080368,3.24892110813502,0.941511846982808,"W2.4"
"11","2406",0.997119590614151,-3.28929556650247,39.1945270982883,5.548,2.99441271441725,27,1.670058710383,1.18641823742935,0.930875192560643,0.771256640113339,0.519073911096721,1.01380058099416,"W2.4"
"12","10720201",0.994361368926933,-3.37803333333333,39.6962177407598,55.48,9.01431861636218,9.01431861636218,6.44912973659985,5.30182176846284,4.6140218096285,4.14273252738677,3.30209671197817,0.977107276853129,"W2.4"
"13","10720202",0.995446148766334,-3.44509756097561,39.9595495064689,5.548,2.1805596483141,8,1.35871841399104,1.02959755735862,0.84564895189555,0.725939149193333,0.526437571919428,0.951046147347551,"W2.4"
"14","392",0.996146888704248,-3.32123563218391,39.3806823859794,5.548,2.99441271441725,2.99441271441725,1.670058710383,1.18641823742935,0.930875192560643,0.771256640113339,0.519073911096721,1.00028905703067,"W2.4"
"15","90720201",0.994209087131118,-3.20706504065041,39.4221118881485,5.548,2.1805596483141,2.1805596483141,1.35871841399104,1.02959755735862,0.84564895189555,0.725939149193333,0.526437571919428,1.05027244306279,"W2.4"
"16","90720202",0.983024803883587,-3.3985837398374,39.9332555758065,5.548,2.1805596483141,11,1.35871841399104,1.02959755735862,0.84564895189555,0.725939149193333,0.526437571919428,0.968975045405425,"W2.4"
"17","90720203",0.994011874984566,-3.32659358974359,39.3057113473243,5.548,0.916588172038965,0.916588172038965,0.648671328589067,0.529850239762281,0.45900820573132,0.410662847358577,0.324892100289107,0.998056688827416,"W2.4"
"18","160720201",0.991268015742462,-3.30973495934959,39.7924765448599,5.548,2.1805596483141,2.1805596483141,1.35871841399104,1.02959755735862,0.84564895189555,0.725939149193333,0.526437571919428,1.00511366483183,"W2.4"
"19","160720202",0.989179003404376,-3.3811756097561,40.4331243158725,5.548,2.18055964817111,28,1.35871841391479,1.02959755730745,0.84564895185747,0.72593914916329,0.526437571901706,0.975855228497809,"W2.4"
"20","17072020",0.990262363402806,-3.11733983739837,38.6366546628153,5.548,2.18055964817111,2.18055964817111,1.35871841391479,1.02959755730745,0.84564895185747,0.72593914916329,0.526437571901706,1.09308241087061,"W2.4"
"21","3072020",0.991656638381934,-3.39507804878049,40.1655427982595,5.548,2.1805596483141,19,1.35871841399104,1.02959755735862,0.84564895189555,0.725939149193333,0.526437571919428,0.970352996251225,"W2.4"
